"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"157","yapsa_0.00","Liver-HCC",2.40086737648376,2.41181999520609,0.408156564148108,0.788333333333333,0.8,0.186265846381721,0.287465956849576,0.225393061087212,0.222948047677248,1,1,0,0.688333333333333,0.666666666666667,0.250314056384761
"158","yapsa_0.00","Eso-AdenoCA",2.39544420992835,2.408947486283,0.232423746322363,0.857484525278643,0.857142857142857,0.0984421036420395,0.354190710706575,0.328000329210406,0.13362262233249,0.949714285714286,1,0.0970730398270823,0.799920634920635,0.833333333333333,0.144060764248396
"159","mutsig","Eso-AdenoCA",2.39544419676971,2.40894742404206,0.232423763679681,0.857484525278643,0.857142857142857,0.0984421036420395,0.354190723865207,0.328000524532178,0.133622678053329,0.949714285714286,1,0.0970730398270823,0.799920634920635,0.833333333333333,0.144060764248396
"160","yapsa_0.03","Lung-AdenoCA",2.394114647356,2.46462763228003,0.557433459808552,0.794309523809524,0.8,0.217226070894936,0.309552019310669,0.198950987280587,0.301907130864112,0.936666666666667,1,0.167137382418091,0.767,1,0.28951931988747
"161","deconstruct_0.06","Liver-HCC",2.39310256360468,2.40330979231126,0.550034806421171,0.831476190476191,0.8,0.165745264501964,0.328564103061987,0.253088998662952,0.333707393752694,0.911666666666667,1,0.185705497997588,0.81,1,0.214211680867262
"162","sigest","Skin-Melanoma",2.39187560313171,2.42011821312026,0.546626508115048,0.78,0.666666666666667,0.158698409523174,0.278124396868289,0.0798817868797399,0.382905214218677,1,1,0,0.67,0.5,0.238047614284762
"163","deconstruct_0.03","Liver-HCC",2.38704752549138,2.41258484658176,0.537848211155739,0.828619047619048,0.8,0.159862476400102,0.329619141175284,0.254659530190182,0.332731240653243,0.94,1,0.158060637045297,0.776666666666667,0.666666666666667,0.212831902286175
"164","musical","ColoRect-AdenoCA",2.38565049654495,2.42327793120086,0.401098577831828,0.843329004329004,0.888888888888889,0.17796225440996,0.348682836788388,0.301739765831485,0.250088573467546,0.906619047619048,1,0.158181439725869,0.827714285714286,1,0.225834260404709
"165","mutsig","Ovary-AdenoCA",2.38129339058459,2.43507300938793,0.423955890531466,0.798134920634921,0.828571428571429,0.183918480043568,0.312373276082079,0.233630847803853,0.234961223678352,0.981666666666667,1,0.0817011883333662,0.712,0.75,0.245875973588978
"166","yapsa_0.00","Ovary-AdenoCA",2.3812933753843,2.43507305936099,0.423955842882238,0.798134920634921,0.828571428571429,0.183918480043568,0.312373291282365,0.233630957715538,0.234961176659095,0.981666666666667,1,0.0817011883333662,0.712,0.75,0.245875973588978
"167","mutsig","Kidney-RCC",2.37846726912112,2.37992113622466,0.320318244029046,0.77031746031746,0.75,0.154394613555135,0.269199397545542,0.231921604368996,0.174287136233368,0.990833333333333,1,0.0528309142400435,0.656833333333333,0.633333333333334,0.206258625640127
"168","yapsa_0.00","Kidney-RCC",2.37846726825168,2.37992122928169,0.320318232120375,0.77031746031746,0.75,0.154394613555135,0.269199398414985,0.231921667725485,0.174287122241119,0.990833333333333,1,0.0528309142400435,0.656833333333333,0.633333333333334,0.206258625640127
"169","yapsa_0.10","Stomach-AdenoCA",2.37588475934644,2.40730119356688,0.414177044888128,0.805428571428571,0.8,0.163540768043474,0.307948573986888,0.262302824902867,0.190072719266816,0.738,0.666666666666667,0.22133763331996,0.945833333333333,1,0.14033339731438
