Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Ovary-AdenoCA::S.67,msa_thresholdx1000,11,0.22,1,1,1,2.78,1,0.166132477258361,0.0192547924458865,Ovary-AdenoCA
Ovary-AdenoCA::S.68,msa_thresholdx1000,13,0.26,0.666666666666667,1,0.8,2.40666666666667,1,0.18,0.405919667457185,Ovary-AdenoCA
Ovary-AdenoCA::S.69,msa_thresholdx1000,26,0.151162790697674,1,1,1,2.84883720930233,1,0.10938888210597,0.00210966505637573,Ovary-AdenoCA
Ovary-AdenoCA::S.70,msa_thresholdx1000,72,0.431137724550898,1,0.75,0.857142857142857,2.3188622754491,0.5,0.21837823387797,0.226613011796061,Ovary-AdenoCA
Ovary-AdenoCA::S.71,msa_thresholdx1000,64,0.251968503937008,1,1,1,2.74803149606299,1,0.226095338824586,0.0224364158690876,Ovary-AdenoCA
Ovary-AdenoCA::S.72,msa_thresholdx1000,5,0.151515151515152,1,1,1,2.84848484848485,1,0.151515151515152,0,Ovary-AdenoCA
Ovary-AdenoCA::S.73,msa_thresholdx1000,21,0.0901287553648069,1,1,1,2.90987124463519,1,0.0567757792073946,0.0132484486854606,Ovary-AdenoCA
Ovary-AdenoCA::S.74,msa_thresholdx1000,4,0.0396039603960396,1,1,1,2.96039603960396,1,0.0313096798036473,0.0015537226856643,Ovary-AdenoCA
Ovary-AdenoCA::S.75,msa_thresholdx1000,15,1.25,1,0.333333333333333,0.5,1.08333333333333,0.5,0.885845484394554,1.8073549220576,Ovary-AdenoCA
Ovary-AdenoCA::S.76,msa_thresholdx1000,8,0.163265306122449,1,1,1,2.83673469387755,1,0.144307506364602,0.0601563995768991,Ovary-AdenoCA
Ovary-AdenoCA::S.77,msa_thresholdx1000,16,0.0898876404494382,0.75,1,0.857142857142857,2.66011235955056,1,0.0599835856855692,0.0104998856958072,Ovary-AdenoCA
Ovary-AdenoCA::S.78,msa_thresholdx1000,36,0.211764705882353,1,0.6,0.75,2.38823529411765,0,0.110988013318313,0.0589096145873568,Ovary-AdenoCA
Ovary-AdenoCA::S.79,msa_thresholdx1000,25,0.657894736842105,1,0.5,0.666666666666667,1.84210526315789,0.333333333333333,0.439560344433949,0.51374262606961,Ovary-AdenoCA
Ovary-AdenoCA::S.80,msa_thresholdx1000,5,0.0240384615384615,1,1,1,2.97596153846154,1,0.0159453114920933,0.001638052125844,Ovary-AdenoCA
Ovary-AdenoCA::S.81,msa_thresholdx1000,19,0.129251700680272,1,1,1,2.87074829931973,1,0.103392409207964,0.0076992254995613,Ovary-AdenoCA
Ovary-AdenoCA::S.82,msa_thresholdx1000,44,0.15884476534296,1,1,1,2.84115523465704,1,0.0879859755014725,0.0299332228283845,Ovary-AdenoCA
Ovary-AdenoCA::S.83,msa_thresholdx1000,33,0.212903225806452,1,1,1,2.78709677419355,1,0.123931436853539,0.0539404653390481,Ovary-AdenoCA
